Laser voltage(V),power(uW),Monitor Diode Voltage(V)
0.29,1.071,0.008
0.295,1.126,0.008
0.3,1.197,0.009
0.31,1.322,0.009
0.32,1.448,0.01
0.33,1.59,0.011
0.34,1.751,0.013
0.35,1.886,0.014
0.36,2.115,0.015
0.37,2.284,0.016
0.38,2.526,0.019
0.39,2.788,0.021
0.4,3.155,0.025
0.41,3.903,0.027
0.42,8.538,0.065
0.43,27.82,0.21
0.44,46.5,0.382
0.45,66.95,0.507
0.46,83.04,0.629
0.47,104.3,0.791
0.48,120.5,0.914
0.49,143.9,1.091
0.5,158.8,1.204
0.51,176.5,1.378
0.52,198.5,1.505
0.53,213.5,1.619
0.54,232.4,1.762
0.55,254.6,1.93
0.56,269.8,2.04
0.57,289.3,2.19
0.58,301.6,2.38
0.59,328.7,2.49
0.6,342.1,2.59
0.61,360.3,2.63
0.62,379.8,2.87
0.63,401.2,3.04
0.64,422.4,3.25
0.65,437.6,3.31
0.66,452.5,3.43
0.67,480.5,3.64
0.68,502.8,3.81
0.69,513.8,3.99
0.7,536.7,4.21